id,title,url,duration,tabs,source_name,source_key,matched_topics,queue_score
CQcRiCxB38E,De Peugeot a Renault - Me lo compro o no me lo compro,https://www.youtube.com/watch?v=CQcRiCxB38E,3298.0,videos,Sergio Oliveira,sergio-oliveira,"Peugeot,Renault",92
ceNBj66rGvQ,"193. Chevrolet Montana, Suzuki Fronx, Vuelve GTI, Precios Polo, BR-V y Acord",https://www.youtube.com/watch?v=ceNBj66rGvQ,3201.0,videos,Autoboutique 1/4 de Milla,cuarto-de-milla,"Chevrolet,Suzuki",92
4CAXSFpMq0E,"104. PruebameLa Nave de Acura Integra, ID Buzz, Fiat Mobi, Honda",https://www.youtube.com/watch?v=4CAXSFpMq0E,3069.0,videos,Autoboutique 1/4 de Milla,cuarto-de-milla,"Honda,Fiat",92
fOfo6GORkWs,"146. Tesla en México, Comprar en agencias de contado, Mazda CX-50",https://www.youtube.com/watch?v=fOfo6GORkWs,2803.0,videos,Autoboutique 1/4 de Milla,cuarto-de-milla,"Mazda,Tesla",92
wFtjSBAacbI,¿Me lo compro o no me lo compro? - Con Lalo Vargas - FIAT y Ford,https://www.youtube.com/watch?v=wFtjSBAacbI,2281.0,videos,Sergio Oliveira,sergio-oliveira,"Ford,Fiat",92
E-dAwmDZ80M,¿Me lo compro o no me lo compro? | Con Lalo Vargas | GMC y Honda,https://www.youtube.com/watch?v=E-dAwmDZ80M,1977.0,videos,Sergio Oliveira,sergio-oliveira,"Honda,GMC",92
fASJ3iE-Yxg,"¿Me lo compro o no me lo compro? 1 Con Lalo Vargas | China, Infiniti y Jeep",https://www.youtube.com/watch?v=fASJ3iE-Yxg,1740.0,videos,Sergio Oliveira,sergio-oliveira,"Jeep,Infiniti",92
Q6fnYdICjRc,Chevrolet Bolt EV 2018. La mejor alternativa a un Tesla.,https://www.youtube.com/watch?v=Q6fnYdICjRc,1536.0,videos,Sergio Oliveira,sergio-oliveira,"Chevrolet,Tesla",92
wCIFANQS4RM,Seat Leon Cupra 290 | PruebameLa... Nave #18 | Reseña,https://www.youtube.com/watch?v=wCIFANQS4RM,1445.0,videos,Autoboutique 1/4 de Milla,cuarto-de-milla,"Cupra,Seat",92
Lm1_TKc7Eow,"Nissan Versa vs Ford Figo. Si es tan bueno el Versa, ¿por qué compré un Figo?",https://www.youtube.com/watch?v=Lm1_TKc7Eow,1206.0,videos,Sergio Oliveira,sergio-oliveira,"Nissan,Ford",92
