id,title,url,duration,timestamp,matched_terms,source_name,usage_rights
-HTgIYuKJi0,¿Me lo compro o no me lo compro? | Con Lalo Vargas | Toyota,https://www.youtube.com/watch?v=-HTgIYuKJi0,3013.0,,"lalo,vargas",Sergio Oliveira,external-reference
RJuaMqk0J_M,"¿Me lo compro o no me lo compro? | Con Lalo Vargas | Peugeot, Ram y Renault",https://www.youtube.com/watch?v=RJuaMqk0J_M,3554.0,,"lalo,vargas",Sergio Oliveira,external-reference
lTGtNxYhLwc,¿Me lo compro o no me lo compro? | Con Lalo Vargas | Mazda,https://www.youtube.com/watch?v=lTGtNxYhLwc,3761.0,,"lalo,vargas",Sergio Oliveira,external-reference
fASJ3iE-Yxg,"¿Me lo compro o no me lo compro? 1 Con Lalo Vargas | China, Infiniti y Jeep",https://www.youtube.com/watch?v=fASJ3iE-Yxg,1740.0,,"lalo,vargas",Sergio Oliveira,external-reference
E-dAwmDZ80M,¿Me lo compro o no me lo compro? | Con Lalo Vargas | GMC y Honda,https://www.youtube.com/watch?v=E-dAwmDZ80M,1977.0,,"lalo,vargas",Sergio Oliveira,external-reference
wFtjSBAacbI,¿Me lo compro o no me lo compro? - Con Lalo Vargas - FIAT y Ford,https://www.youtube.com/watch?v=wFtjSBAacbI,2281.0,,"lalo,vargas",Sergio Oliveira,external-reference
