id,url,title,duration,timestamp,tabs,thumbnail,source_name,usage_rights,reuse_policy
RRZDRLiIQOw,https://www.youtube.com/watch?v=RRZDRLiIQOw,Dodge Charger Sixpack 2026 RT: ¿sigue siendo un muscle car? @Teamoneilrally | Jaime Gabaldoni,811.0,,videos,https://i.ytimg.com/vi/RRZDRLiIQOw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDX0OSPR4G1XF6iOd2RDNTtF8Q74A,Jaime Gabaldoni,external-reference,embed_link_and_summarize_only
sEdkFx4BdqM,https://www.youtube.com/watch?v=sEdkFx4BdqM,Kia Telluride 2027: ¿La mejor SUV familiar? con @Guaroa Ubinas | Prueba de manejo | Jaime Gabaldoni,1112.0,,videos,https://i.ytimg.com/vi/sEdkFx4BdqM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDFJ4FJ-bcy_ai7e5wDjRd1b2hWYg,Jaime Gabaldoni,external-reference,embed_link_and_summarize_only
z27AbWQP8wE,https://www.youtube.com/watch?v=z27AbWQP8wE,🚙 Toyota Grand Highlander 2026 i-Force MAX Platinum: 362 hp y 3 filas híbridas | Jaime Gabaldoni,1396.0,,videos,https://i.ytimg.com/vi/z27AbWQP8wE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDWm1GbZ9cHcMBqu3mpSU-g71AxmA,Jaime Gabaldoni,external-reference,embed_link_and_summarize_only
Ta_QwNdOTM0,https://www.youtube.com/watch?v=Ta_QwNdOTM0,Nissan Armada/Patrol Nismo 2026: La SUV deportiva INESPERADA de Nissan | Prueba de manejo,1500.0,,videos,https://i.ytimg.com/vi/Ta_QwNdOTM0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAQ13uWNiU8CEJYMv8gMhwThGoXrw,Jaime Gabaldoni,external-reference,embed_link_and_summarize_only
zCFVqqfFmAo,https://www.youtube.com/watch?v=zCFVqqfFmAo,Mercedes-Maybach SL680 Monogram Edition: Lujo Absoluto en Convertible V8 | Reseña | Jaime Gabaldoni,1351.0,,videos,https://i.ytimg.com/vi/zCFVqqfFmAo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA5Nujjk-nQo6tfMy20y21M550l2Q,Jaime Gabaldoni,external-reference,embed_link_and_summarize_only
Fb_wDMbe3CQ,https://www.youtube.com/watch?v=Fb_wDMbe3CQ,Toyota Crown Platinum 2026: Sedán de lujo híbrido de 340 HP AWD | Reseña | Jaime Gabaldoni,1124.0,,videos,https://i.ytimg.com/vi/Fb_wDMbe3CQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBqcJh1EHuFmxSKWobY9jaeTAXcdA,Jaime Gabaldoni,external-reference,embed_link_and_summarize_only
OIzoQizv9Hc,https://www.youtube.com/watch?v=OIzoQizv9Hc,China prohíbe las manijas ocultas en los autos más nuevos ¿Son un peligro? | Jaime Gabaldoni,243.0,,videos,https://i.ytimg.com/vi/OIzoQizv9Hc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCjrIOBU3t_p79ORDlSDl9FaiHsMA,Jaime Gabaldoni,external-reference,embed_link_and_summarize_only
CZzey2hs4nM,https://www.youtube.com/watch?v=CZzey2hs4nM,"AUDI A6 2026: Más tecnología, lujo y 362 HP V6 Turbo | Reseña | Jaime Gabaldoni",1177.0,,videos,https://i.ytimg.com/vi/CZzey2hs4nM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCe_tXATR-EF-2TJTcxJk_YKPbqWg,Jaime Gabaldoni,external-reference,embed_link_and_summarize_only
6x2bdm1YbSM,https://www.youtube.com/watch?v=6x2bdm1YbSM,Elon Musk se deshace del Tesla Model S y Model X | Noticia | Jaime Gabaldoni,185.0,,videos,https://i.ytimg.com/vi/6x2bdm1YbSM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBD3CMjbBQp6XSr0vOYtmuGpHAnqg,Jaime Gabaldoni,external-reference,embed_link_and_summarize_only
6_ijjhz_uJs,https://www.youtube.com/watch?v=6_ijjhz_uJs,Grand Canyon West en moto desde Las Vegas -BMW R1250 RT ¡Helicóptero y más! | Vlog | Jaime Gabaldoni,1461.0,,videos,https://i.ytimg.com/vi/6_ijjhz_uJs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAG32Tgz45hd4u2o5ZfTLumBrGEsQ,Jaime Gabaldoni,external-reference,embed_link_and_summarize_only
