source_video_id,source_channel,source_title,source_url,claim_count,raw_transcript_stored,extraction_provider
-HTgIYuKJi0,Sergio Oliveira,¿Me lo compro o no me lo compro? | Con Lalo Vargas | Toyota,https://www.youtube.com/watch?v=-HTgIYuKJi0,1,False,local
RJuaMqk0J_M,Sergio Oliveira,"¿Me lo compro o no me lo compro? | Con Lalo Vargas | Peugeot, Ram y Renault",https://www.youtube.com/watch?v=RJuaMqk0J_M,3,False,local
lTGtNxYhLwc,Sergio Oliveira,¿Me lo compro o no me lo compro? | Con Lalo Vargas | Mazda,https://www.youtube.com/watch?v=lTGtNxYhLwc,1,False,local
fASJ3iE-Yxg,Sergio Oliveira,"¿Me lo compro o no me lo compro? 1 Con Lalo Vargas | China, Infiniti y Jeep",https://www.youtube.com/watch?v=fASJ3iE-Yxg,2,False,local
E-dAwmDZ80M,Sergio Oliveira,¿Me lo compro o no me lo compro? | Con Lalo Vargas | GMC y Honda,https://www.youtube.com/watch?v=E-dAwmDZ80M,2,False,local
wFtjSBAacbI,Sergio Oliveira,¿Me lo compro o no me lo compro? - Con Lalo Vargas - FIAT y Ford,https://www.youtube.com/watch?v=wFtjSBAacbI,2,False,local
