id,slug,title_seo,source_url,source_name,usage_rights,reuse_policy,editorial_permission_required,upload_date,duration,transcript_available,transcript_chars,claims_count,enrichment_provider
-HTgIYuKJi0,me-lo-compro-o-no-me-lo-compro-con-lalo-vargas-toyota--HTgIYuKJi0,¿Me lo compro o no me lo compro? | Con Lalo Vargas | Toyota,https://www.youtube.com/watch?v=-HTgIYuKJi0,Sergio Oliveira,external-reference,embed_link_and_summarize_only,True,20260527,3012,False,0,1,local
RJuaMqk0J_M,me-lo-compro-o-no-me-lo-compro-con-lalo-vargas-peugeot-ram-y-renault-RJuaMqk0J_M,"¿Me lo compro o no me lo compro? | Con Lalo Vargas | Peugeot, Ram y Renault",https://www.youtube.com/watch?v=RJuaMqk0J_M,Sergio Oliveira,external-reference,embed_link_and_summarize_only,True,20260320,3553,False,0,3,local
lTGtNxYhLwc,me-lo-compro-o-no-me-lo-compro-con-lalo-vargas-mazda-lTGtNxYhLwc,¿Me lo compro o no me lo compro? | Con Lalo Vargas | Mazda,https://www.youtube.com/watch?v=lTGtNxYhLwc,Sergio Oliveira,external-reference,embed_link_and_summarize_only,True,20260303,3760,False,0,1,local
fASJ3iE-Yxg,me-lo-compro-o-no-me-lo-compro-1-con-lalo-vargas-china-infiniti-y-jeep-fASJ3iE-Yxg,"¿Me lo compro o no me lo compro? 1 Con Lalo Vargas | China, Infiniti y Jeep",https://www.youtube.com/watch?v=fASJ3iE-Yxg,Sergio Oliveira,external-reference,embed_link_and_summarize_only,True,20260117,1740,False,0,2,local
E-dAwmDZ80M,me-lo-compro-o-no-me-lo-compro-con-lalo-vargas-gmc-y-honda-E-dAwmDZ80M,¿Me lo compro o no me lo compro? | Con Lalo Vargas | GMC y Honda,https://www.youtube.com/watch?v=E-dAwmDZ80M,Sergio Oliveira,external-reference,embed_link_and_summarize_only,True,20251222,1976,False,0,2,local
wFtjSBAacbI,me-lo-compro-o-no-me-lo-compro-con-lalo-vargas-fiat-y-ford-wFtjSBAacbI,¿Me lo compro o no me lo compro? - Con Lalo Vargas - FIAT y Ford,https://www.youtube.com/watch?v=wFtjSBAacbI,Sergio Oliveira,external-reference,embed_link_and_summarize_only,True,20251217,2281,False,0,2,local
