source_video_id,source_channel,source_title,source_url,claim_count,raw_transcript_stored,extraction_provider
wCIFANQS4RM,Autoboutique 1/4 de Milla,Seat Leon Cupra 290 | PruebameLa... Nave #18 | Reseña,https://www.youtube.com/watch?v=wCIFANQS4RM,1,False,local
Lm1_TKc7Eow,Sergio Oliveira,"Nissan Versa vs Ford Figo. Si es tan bueno el Versa, ¿por qué compré un Figo?",https://www.youtube.com/watch?v=Lm1_TKc7Eow,1,False,local
8koVSrO15JA,CarsLatino,Rueda Contra Rueda - Renault Koleos vs Peugeot 3008 (Comparativa) *CarsLatino*,https://www.youtube.com/watch?v=8koVSrO15JA,1,False,local
xzb4lyukVms,El Dios de los Autos,¿MAZDA ES MEJOR AUTO PREMIUM QUE BMW?,https://www.youtube.com/watch?v=xzb4lyukVms,6,False,local
c6lV2K20_vg,Sergio Oliveira,Seat León Cupra 2017.  Velocidad a precio de ganga,https://www.youtube.com/watch?v=c6lV2K20_vg,1,False,local
kqOJExPj9BE,El Dios de los Autos,JEEP GRAND CHEROKEE VS DODGE DURANGO ¿CUAL ES MEJOR? | Versus de vehículos,https://www.youtube.com/watch?v=kqOJExPj9BE,6,False,local
NdhciZTmHU0,El Dios de los Autos,Prueba de manejo: MAZDA 3 VS. KIA KOUP,https://www.youtube.com/watch?v=NdhciZTmHU0,2,False,local
LZb5dDY_lAI,Sergio Oliveira,Subaru BRZ vs Mazda MX-5. ¿Cuál es el mejor?,https://www.youtube.com/watch?v=LZb5dDY_lAI,2,False,local
mdiWpDX7FNk,CarsLatino,5 KIA/HYUNDAI QUE NO DEBERÍAS COMPRAR Y 5 QUE SI *CarsLatino*,https://www.youtube.com/watch?v=mdiWpDX7FNk,2,False,local
VWTikrCbsyU,Sergio Oliveira,"Infiniti QX30 2017; Alma de Mercedes, aunque no del mejor Mercedes.",https://www.youtube.com/watch?v=VWTikrCbsyU,2,False,local
qG98Th4nygU,El Dios de los Autos,NISSAN Y MITSUBISHI SON COMPRADOS POR MARCA CHINA - ENORME NOTICIA,https://www.youtube.com/watch?v=qG98Th4nygU,4,False,local
IVNVRKQ6D68,El Dios de los Autos,"¡MG ACABA DE COMPRAR JEEP, ALFA ROMEO Y MASERATI!",https://www.youtube.com/watch?v=IVNVRKQ6D68,1,False,local
I944R7n7dfI,El Dios de los Autos,NUEVO Toyota Land Cruiser FJ SE COME VIVO A SUZUKI JIMNY (ADIOS SUZUKI ya nadie te COMPRARÁ),https://www.youtube.com/watch?v=I944R7n7dfI,1,False,local
8rRsSjBmFzI,El Dios de los Autos,MG ACABA DE COMPRAR BMW (ESTO LO CAMBIA TODO),https://www.youtube.com/watch?v=8rRsSjBmFzI,1,False,local
oKHE7t_hGjs,El Dios de los Autos,COMPRÉ UN VOLVO XC40 HIBRIDO ¿REALMENTE DESTROZA AL BMW X1?,https://www.youtube.com/watch?v=oKHE7t_hGjs,2,False,local
xJKQKFfs9ew,El Dios de los Autos,¿Compro un AUDI A1 o un TOYOTA COROLLA? AHORA CUESTAN IGUAL,https://www.youtube.com/watch?v=xJKQKFfs9ew,1,False,local
-iHkQmXpWG4,Sergio Oliveira,Comparativa Toyota Prius vs Honda Insight,https://www.youtube.com/watch?v=-iHkQmXpWG4,2,False,local
1_3A_7ajBFY,El Dios de los Autos,HYUNDAI i10 VS. VOLKSWAGEN UP! ¿CUAL ES MEJOR?,https://www.youtube.com/watch?v=1_3A_7ajBFY,2,False,local
-q-MKAR9AUc,Autoboutique 1/4 de Milla,Casos extremos con fallas en vehiculos Chirey y Omoda.,https://www.youtube.com/watch?v=-q-MKAR9AUc,3,False,local
i4gvUL_mZ6M,El Dios de los Autos,CUIDADO!!! NO CAIGAS!! #toyota #auto #hyundai #mazda #nissan #honda #mitsubishi #mazda #volkswagen,https://www.youtube.com/shorts/i4gvUL_mZ6M,4,False,local
gw9Rc4_qs6U,Sergio Oliveira,"¿Me lo compro o no me lo compro? GMC, GWM, Honda, Hyundai",https://www.youtube.com/watch?v=gw9Rc4_qs6U,4,False,local
i9MvJIC7Zf0,Autoboutique 1/4 de Milla,"Chirey Omoda 5, Subaru WRX S4, Autódromo Riviera Maya, Categorías Rabadilla de Oro | 19",https://www.youtube.com/watch?v=i9MvJIC7Zf0,3,False,local
OEP3diaCMWw,Autoboutique 1/4 de Milla,"19. Chirey Omoda 5, Subaru WRX S4, Autódromo Riviera Maya, Categorías Rabadilla de Oro",https://www.youtube.com/watch?v=OEP3diaCMWw,3,False,local
Uszu_nmH-SA,Autoboutique 1/4 de Milla,"Mesa Autmotriz Febrero 19 | Mazda, Suzuki y Kia | Formula Automotriz",https://www.youtube.com/watch?v=Uszu_nmH-SA,3,False,local
CwdTCbBrBfg,Autoboutique 1/4 de Milla,"Pre día del niño, Nuevo Honda Type R, Suzuki Ertiga 2023, Tesla Cyber Truck | #59",https://www.youtube.com/watch?v=CwdTCbBrBfg,3,False,local
JrVN4HVNjJg,Autoboutique 1/4 de Milla,"161. BYD Seagull, Cupra Tavaskan, Jaecoo 7 y 9, Mach E en Australia",https://www.youtube.com/watch?v=JrVN4HVNjJg,1,False,local
BhwicrKoEO4,Autoboutique 1/4 de Milla,"Fanáticos de MG, Ford Ranger Raptor, Mazda CX-3 Mexicana, Carretera con carga inalámbrica | #43",https://www.youtube.com/watch?v=BhwicrKoEO4,3,False,local
cQZbi2OPviU,Autoboutique 1/4 de Milla,"43. Fanáticos de MG, Ford Ranger Raptor, Mazda CX-3 Mexicana, Carretera con carga inalámbrica",https://www.youtube.com/watch?v=cQZbi2OPviU,3,False,local
5p0P6HyYtW0,Autoboutique 1/4 de Milla,"224. Tank 300 híbrido, Chirey y DHL hacen alianza, Nissan y Honda vs China",https://www.youtube.com/watch?v=5p0P6HyYtW0,3,False,local
hqsVHkRdSP4,El Dios de los Autos,"Chevrolet ¡NUEVA Pick Up de $17,000 TIENE a Toyota y Ford de RODILLAS!",https://www.youtube.com/watch?v=hqsVHkRdSP4,3,False,local
fk_e5VCbj-Q,El Dios de los Autos,¡NUEVA SUV Fiat Barata deja obsoletos a Toyota y Nissan!,https://www.youtube.com/watch?v=fk_e5VCbj-Q,2,False,local
6leoXMpsOjw,El Dios de los Autos,"CADILLAC ACABA DE APLASTAR A BMW, AUDI Y MERCEDES (Y NADIE LO HA NOTADO)",https://www.youtube.com/watch?v=6leoXMpsOjw,4,False,local
C0G0H_c_o48,El Dios de los Autos,¡Ford está FURIOSO! Responde TOYOTA y Suzuki!!,https://www.youtube.com/watch?v=C0G0H_c_o48,3,False,local
rmKPNgKpHKw,El Dios de los Autos,TESLA AHORA ES DUEÑO DE FORD Y CHEVROLET,https://www.youtube.com/watch?v=rmKPNgKpHKw,3,False,local
Iv9QnL7nz-4,Jaime Gabaldoni,"Japan Mobility Show 2025: Lexus, Toyota, Subaru, Mazda and the future of mobility | Jaime Gabaldoni",https://www.youtube.com/watch?v=Iv9QnL7nz-4,4,False,local
dBPQQ84QPoQ,Autoboutique 1/4 de Milla,hyundai atos a prueba de dinamometro vendido en mexico dodge motor 1.0 litros,https://www.youtube.com/watch?v=dBPQQ84QPoQ,2,False,local
-ayU1rQYyxM,Jaime Gabaldoni,Jeep Gladiator Mojave vs Ford F-150 Raptor: ¿Son realmente comparables?,https://www.youtube.com/watch?v=-ayU1rQYyxM,2,False,local
hRJTmW-1Ajk,Autoboutique 1/4 de Milla,"El Podcast de Autos 104 | PruebameLa Nave de Acura Integra, ID Buzz, Fiat Mobi, Honda",https://www.youtube.com/watch?v=hRJTmW-1Ajk,3,False,local
CQOM0NXov44,Sergio Oliveira,¿Me lo compro o no me lo compro? Chevrolet,https://www.youtube.com/watch?v=CQOM0NXov44,1,False,local
-HTgIYuKJi0,Sergio Oliveira,¿Me lo compro o no me lo compro? | Con Lalo Vargas | Toyota,https://www.youtube.com/watch?v=-HTgIYuKJi0,1,False,local
vUoMJrMWzXg,Sergio Oliveira,"¿Me lo compro o no me lo compro? Jetour, JIM, JMC y Kia",https://www.youtube.com/watch?v=vUoMJrMWzXg,1,False,local
K4tz6lkjYQA,Sergio Oliveira,¿Me lo compro o no me lo compro? BUICK y BYD,https://www.youtube.com/watch?v=K4tz6lkjYQA,1,False,local
I_fLLaMrC7c,Sergio Oliveira,Me lo compro o no me lo compro. Alfa Romeo y Audi,https://www.youtube.com/watch?v=I_fLLaMrC7c,2,False,local
jkAknhO9cfs,Autoboutique 1/4 de Milla,BMW X6M50I 2021 | PruebameLa... Nave #137 | Reseña,https://www.youtube.com/watch?v=jkAknhO9cfs,1,False,local
nyNvIP1LJbo,Autoboutique 1/4 de Milla,Jeep SkyFreedom 4 cil Turbo | PruebameLa... Nave #128 | Reseña,https://www.youtube.com/watch?v=nyNvIP1LJbo,1,False,local
Jl7hOoO6E1s,Jaime Gabaldoni,2024 Dodge Durango SRT Hellcat Review 🔥 | Jaime Gabaldoni,https://www.youtube.com/watch?v=Jl7hOoO6E1s,4,False,local
ZfI1VAFeKN8,Autoboutique 1/4 de Milla,"El precio del limón y el aguacate, Ram Night Edition, Kwid 2023. | Podcast #33",https://www.youtube.com/watch?v=ZfI1VAFeKN8,1,False,local
bff0Ni8J7IM,Autoboutique 1/4 de Milla,"33. El precio del limón y el aguacate, Ram Night Edition, Kwid 2023.",https://www.youtube.com/watch?v=bff0Ni8J7IM,2,False,local
gUtXfK8gI44,Sergio Oliveira,Suzuki bajó los precios en toda su gama - La Cochera Radio 13 enero,https://www.youtube.com/watch?v=gUtXfK8gI44,2,False,local
oBEJMOQgZeg,Sergio Oliveira,Dodge Attitude mejora de la tierra al cielo - LaCochera Radio 7sep,https://www.youtube.com/watch?v=oBEJMOQgZeg,1,False,local
a3x14a4C0bg,Autoboutique 1/4 de Milla,Peugeot Rifter Allure hdi 2021 | PruebameLa... Nave #133 | Reseña,https://www.youtube.com/watch?v=a3x14a4C0bg,1,False,local
C21eAHuMhgA,Jaime Gabaldoni,2023 Dodge Challenger SRT Review // 🦖 An American in danger of extinction 🇺🇸 - Jaime Gabaldoni,https://www.youtube.com/watch?v=C21eAHuMhgA,1,False,local
f1aT1O41wEs,Jaime Gabaldoni,Jeep Wrangler 392 Final Edition: ¿el último Wrangler con motor HEMI V8? | Review | Jaime Gabaldoni,https://www.youtube.com/watch?v=f1aT1O41wEs,1,False,local
5b0XhhpGHlc,Autoboutique 1/4 de Milla,BMW M240i Xdrive 2025 | PruebameLa... Nave #235 | Reseña,https://www.youtube.com/watch?v=5b0XhhpGHlc,1,False,local
mXEY7BDpM50,Jaime Gabaldoni,Nissan GT-R R35 2023: “Godzilla” sigue imparable | Prueba de manejo | Jaime Gabaldoni,https://www.youtube.com/watch?v=mXEY7BDpM50,4,False,local
FVyPQ1hjKnU,Jaime Gabaldoni,Chevrolet Colorado Z71 2023 - 🤔 ¿La mejor pickup mediana? 🛻 | Reseña Jaime Gabaldoni,https://www.youtube.com/watch?v=FVyPQ1hjKnU,1,False,local
TRAdnQbFQm8,Jaime Gabaldoni,Honda Civic Type R 2023 | Prueba Completa [HD],https://www.youtube.com/watch?v=TRAdnQbFQm8,1,False,local
H8GrL02XiOM,Autoboutique 1/4 de Milla,Dodge Challenger SRT Hellcat Redeye Widebody | PruebameLa... Nave #87 | Reseña,https://www.youtube.com/watch?v=H8GrL02XiOM,1,False,local
