topic,slug,status,publication_score,owned_tixuz_video_count,selected_claim_count,canonical
Ford,ford,draft_needs_editorial_review,86,3,10,https://tixuzautos.com/guias/ford/
Nissan,nissan,draft_needs_editorial_review,76,4,6,https://tixuzautos.com/guias/nissan/
Hyundai,hyundai,draft_needs_editorial_review,75,4,7,https://tixuzautos.com/guias/hyundai/
